,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
1,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2011,PREMON,10.145,5.946875,6.336249999999996,6.833595253211668,6.859194044688161,7.736324299151088,7.569339415985152
2,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2011,MONSOON,4.65,5.674999999999999,6.091249999999998,5.518157151927,5.893801934701643,3.647385936355,3.922329277962487
3,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2011,POMKH,3.753333333333334,5.56625,5.8024999999999975,5.3508942911562,5.52889269205633,5.7051090270290254,5.682972883348616
0,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2012,POMRB,5.920000000000001,5.616979166666668,5.547499999999998,5.748536574693722,5.626140181685527,7.625178145652264,7.4032615186843165
1,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2012,PREMON,10.145,5.602083333333334,5.584999999999999,6.389121944816233,6.066025946865202,7.489572209683657,7.290621008488983
2,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2012,MONSOON,4.65,5.588333333333333,5.648958333333333,5.353806500223072,5.356776568652278,3.5419686950670584,3.8668037650835663
3,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2012,POMKH,3.753333333333334,5.571458333333332,5.555208333333333,5.102283900133843,5.032350490995756,5.465045174878894,5.500739589005331
0,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2013,POMRB,5.920000000000001,5.571354166666667,5.621458333333332,5.7053703400803055,5.370083889126809,7.182334149519749,6.9448511178444665
1,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2013,PREMON,10.145,5.774375,5.5214583333333325,6.203222204048183,5.812661391939188,7.4063538290852895,7.2891702572130095
2,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2013,MONSOON,4.65,5.7887499999999985,5.621249999999997,5.401933322428911,5.341503503104182,3.564385646828212,3.868121257041808
3,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2013,POMKH,3.753333333333334,5.01875,5.9274999999999975,5.621159993457347,5.475433228730567,5.207832949546847,5.271020997517027
0,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2014,POMRB,5.920000000000001,4.229166666666667,5.649999999999999,5.572695996074408,5.462151565032589,7.026839739740204,6.909740339728563
1,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2014,PREMON,10.145,3.952083333333333,4.387499999999998,4.103617597644645,4.346955374137266,7.25104981345159,7.021038050141937
2,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2014,MONSOON,4.65,3.754166666666667,4.070833333333333,3.63550389192012,3.7254198893071218,3.5558935031396643,3.5426120266259336
3,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2014,POMKH,3.753333333333334,4.15625,3.833333333333333,4.181302335152072,3.8685061678108217,5.18600435779107,5.363599308265675
0,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2015,POMRB,5.920000000000001,4.833333333333333,3.675,4.45544806775791,4.003423277510577,6.306616761232514,6.2561904661038925
1,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2015,PREMON,10.145,4.691666666666666,4.6375,4.973268840654747,4.441262789754137,5.4122631872263325,5.101714679552319
2,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2015,MONSOON,4.65,4.429166666666667,5.029166666666667,4.7839613043928475,4.452638461497642,3.3055802580177143,3.731096984374548
3,MS,Kolhapur,Bhudargad,16.287685183333334,74.13879629666667,2015,POMKH,3.753333333333334,4.569791666666667,4.354166666666667,3.790376782635709,3.779089905145381,5.128125075714539,5.3756487588905815
0,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2016,POMRB,5.920000000000001,4.491666666666667,4.504166666666666,4.460892736248092,4.19208127426275,5.787320456750303,5.472993589600323
1,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2016,PREMON,10.145,4.460416666666667,4.635416666666668,5.186535641748856,4.8545373560630685,5.454030146451262,5.376198354246679
2,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2016,MONSOON,4.65,4.620833333333334,4.347916666666668,4.451921385049313,4.503609306879736,3.6157380764247113,4.08916937666362
3,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2016,POMKH,3.753333333333334,4.6875,4.572916666666668,3.951152831029588,4.123247855520577,4.2067217829956185,4.179975872517237
0,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2017,POMRB,5.920000000000001,4.86875,4.668750000000001,4.710691698617753,4.632715565995092,5.665908539756683,5.5304840009153935
1,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2017,PREMON,10.145,4.80625,4.706250000000002,5.396415019170653,5.295844304246222,5.685344728226521,5.713587882735947
2,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2017,MONSOON,4.65,4.55625,5.03125,5.097849011502392,5.297147659876723,3.525438916652821,3.88027165460776
3,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2017,POMKH,3.753333333333334,4.5218750000000005,4.58125,3.618709406901435,4.232016418149608,3.9483624671868087,3.9912448126833056
0,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2018,POMRB,5.920000000000001,4.43125,4.53125,4.431225644140861,4.614580996114307,5.702181243412597,5.446941821274833
1,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2018,PREMON,10.145,4.81875,4.5125,5.1987353864845165,5.203453928664231,5.876191342771312,5.918190295377027
2,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2018,MONSOON,4.65,,4.35,4.7192412318907095,4.96335308445188,3.819757287378015,4.176256518397288
3,MS,Kolhapur,Bhudargad,16.265277775,74.133333335,2018,POMKH,3.753333333333334,,5.2875,4.891544739134425,,3.131944657912761,3.0546010861008566
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1996,POMRB,5.506666666666668,,,5.506666666666668,4.9990219110536085,5.516666666666668,0.0
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1996,PREMON,6.453333333333332,,,5.8853333333333335,5.123306112067191,6.470784856879038,1.4781089920860839e-08
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1996,MONSOON,4.933333333333334,5.5862500000000015,,5.504533333333334,4.867687616352102,4.955894163897862,-1.606298941207451e-07
3,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1996,POMKH,5.48,5.489166666666668,5.593333333333334,5.494720000000001,4.832917882725019,5.505594567992042,-2.469962364194051e-07
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1997,POMRB,5.506666666666668,4.929375,5.5791666666666675,5.476832000000001,4.833243702116602,5.532995589448094,5.1121169860951525
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1997,PREMON,6.453333333333332,4.062083333333334,5.399166666666666,5.579432533333334,4.945973079033866,6.464767840795566,5.990955504327448
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1997,MONSOON,4.933333333333334,3.4145833333333333,4.459583333333333,3.81765952,3.833296723389064,4.7610650936911645,4.57986267269939
3,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1997,POMKH,5.48,3.1666666666666665,3.6645833333333333,3.210595712,3.203322074719602,4.364224220371926,5.087360967323027
